time,TDryBul,relHum,pAtm,HGloHor,HDifHor,winSpe,winDir
0.0,288.04999999999995,0.82,101900,0,0,0.0,0
3600.0,286.04999999999995,0.82,102000,0,0,0.0,0
7200.0,284.54999999999995,0.82,102100,0,0,0.0,0
10800.0,283.65,0.83,102200,0,0,0.0,0
14400.0,283.04999999999995,0.84,102200,0,0,1.0,0
18000.0,282.54999999999995,0.85,102300,0,0,2.0,0
21600.0,282.95,0.8,102300,5,5,3.0,290
25200.0,284.25,0.76,102400,108,70,2.7,290
28800.0,285.54999999999995,0.72,102400,319,126,2.3,290
32400.0,286.84999999999997,0.68,102400,515,139,2.0,320
36000.0,289.04999999999995,0.58,102300,660,131,1.3,320
39600.0,291.34999999999997,0.49,102200,736,121,0.7,320
43200.0,293.54999999999995,0.41,102100,736,120,0.0,0
46800.0,294.34999999999997,0.35,102000,662,110,0.0,0
50400.0,295.04999999999995,0.29,101900,518,112,0.0,0
54000.0,295.84999999999997,0.23,101800,320,147,0.0,0
57600.0,293.54999999999995,0.32,101900,107,69,0.7,0
61200.0,291.34999999999997,0.42,101900,5,5,1.3,0
64800.0,289.04999999999995,0.55,102000,0,0,2.0,140
68400.0,288.95,0.57,102000,0,0,2.3,140
72000.0,288.84999999999997,0.59,102000,0,0,2.7,140
75600.0,288.75,0.61,102100,0,0,3.0,160
79200.0,288.34999999999997,0.66,102000,0,0,2.3,160
82800.0,287.84999999999997,0.71,102000,0,0,1.7,160
86400.0,287.45,0.77,102000,0,0,1.0,140
90000.0,286.95,0.8,102000,0,0,1.0,140
93600.0,286.54999999999995,0.83,101900,0,0,1.0,140
97200.0,286.04999999999995,0.86,101900,0,0,1.0,90
100800.0,284.04999999999995,0.93,102000,0,0,2.0,90
104400.0,282.15,0.93,102000,0,0,3.0,90
108000.0,284.54999999999995,0.8,102100,5,5,1.0,70
111600.0,285.84999999999997,0.78,102200,107,70,1.3,70
115200.0,287.25,0.75,102200,315,128,1.7,70
118800.0,288.54999999999995,0.73,102300,468,218,2.0,320
122400.0,290.25,0.65,102200,655,183,1.7,320
126000.0,291.95,0.58,102100,733,127,1.3,320
129600.0,293.65,0.52,101900,733,126,1.0,320
133200.0,294.04999999999995,0.52,101900,658,118,1.0,320
136800.0,294.45,0.51,101900,514,120,1.0,320
140400.0,294.84999999999997,0.51,101900,317,108,1.0,320
144000.0,293.34999999999997,0.58,101900,108,72,1.0,320
147600.0,291.84999999999997,0.66,102000,5,5,1.0,320
151200.0,290.34999999999997,0.75,102000,0,0,1.0,90
154800.0,290.34999999999997,0.78,102100,0,0,0.7,90
158400.0,290.25,0.8,102100,0,0,0.3,90
162000.0,290.25,0.83,102200,0,0,0.0,0
